"Comment","Designator","Footprint","LCSC Part #"
"10uF/25V","C1,C3,C8","CP_Elec_4x5.3",""
"100nF","C2,C4,C5,C6,C7","C_0805_2012Metric",""
"SPI+Power","J1","PinHeader_2x05_P2.54mm_Vertical",""
"GND+DAC A-D","J2","PinHeader_1x05_P2.54mm_Vertical",""
"10k","R1","R_0805_2012Metric","C17414"
"100R","R2,R3,R4,R5","R_0805_2012Metric","C17408"
"AD5754BREZ","U1","HTSSOP-24-1EP_4.4x7.8mm_P0.65mm_EP3.2x5mm","C650230"
"ADR421","U2","SOIC-8_3.9x4.9mm_P1.27mm","C29739"
