"Comment","Designator","Footprint","LCSC Part #"
"BUS (2x12)","J1","",""
"KERNSLOT (socket)","J2","",""
"MODE0","JP1","",""
"MODE1","JP2","",""
"MODE2","JP3","",""
"TSEL0","JP4","",""
"TSEL1","JP5","",""
"TSEL2","JP6","",""
"TEN","JP7","",""
"FMCV","JP8","",""
"4k7","R1","R_0603_1608Metric",""
"TOUT","TP1","",""
"SDO2","TP2","",""
