"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"U4","74HC154","SOIC-24W_7.5x15.4mm_P1.27mm","70.000000","-32.000000","180.000000","top"
"U5","74HC165","SOIC-16_3.9x9.9mm_P1.27mm","37.000000","-112.000000","0.000000","top"
"U6","74HC165","SOIC-16_3.9x9.9mm_P1.27mm","153.000000","-15.500000","0.000000","top"
"U7","74LVC1G125","SOT-23-5","55.000000","-95.000000","180.000000","top"
"U8","74LVC245","SOIC-20W_7.5x12.8mm_P1.27mm","95.000000","-31.000000","0.000000","top"
"U9","H11L1","DIP-6_W7.62mm","52.000000","-112.000000","0.000000","top"
"U10","H11L1","DIP-6_W7.62mm","79.000000","-124.500000","90.000000","top"
"U11","74LVC1G17","SOT-23-5","88.000000","-128.000000","270.000000","top"
"U12","SN65HVD230","SOIC-8_3.9x4.9mm_P1.27mm","150.000000","-112.000000","270.000000","top"
"U13","74LVC1G17","SOT-23-5","54.000000","-16.500000","270.000000","top"
"U14","74LVC1G17","SOT-23-5","97.000000","-128.000000","270.000000","top"
