"Comment","Designator","Footprint","LCSC Part #"
"10u","C1,C3,C8,C14","CP_Elec_4x5.3",""
"100n","C2,C4,C5,C6,C7,C10,C12,C13","C_0805_2012Metric","C49678"
"BUS","J1","PinHeader_2x10_P2.54mm_Horizontal",""
"CV OUT","J2","PinHeader_1x10_P2.54mm_Horizontal",""
"10k","R1","R_0805_2012Metric","C17414"
"100R","R2,R3,R4,R5,R6,R7,R8,R9","R_0805_2012Metric","C17408"
"AD5754BREZ","U1,U2","HTSSOP-24-1EP_4.4x7.8mm_P0.65mm_EP3.2x5mm","C650230"
"ADR421","U3","SOIC-8_3.9x4.9mm_P1.27mm","C29739"
