"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"J1","SOCKET-BACK","Socket_2x10_backside","108.000000","-186.000000","0.000000","bottom"
"C10","100n","C_0805_2012Metric","114.600000","-179.000000","-90.000000","top"
"SW1","EC11E","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm","115.500000","-110.700000","180.000000","top"
"SW2","EC11E","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm","115.500000","-124.900000","180.000000","top"
"SW3","EC11E","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm","115.500000","-139.100000","180.000000","top"
"SW4","EC11E","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm","115.500000","-153.300000","180.000000","top"
"SW5","EC11E","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm","115.500000","-167.500000","180.000000","top"
"U1","MCP23017-E/ML","QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm","108.000000","-179.000000","0.000000","top"
