"Comment","Designator","Footprint","LCSC Part #"
"BUS (slot, 2x12)","J1","PinHeader_2x12_P2.54mm_Horizontal",""
"NAAR FRONT","J2","PinHeader_1x10_P2.54mm_Horizontal","C2687688"
