"Comment","Designator","Footprint","Qty","LCSC Part #"
"J1","J1","Connector_PinHeader_2.54mm:PinHeader_2x10_P2.54mm_Horizontal","1",""
"J2","J2","Connector_PinHeader_2.54mm:PinHeader_2x10_P2.54mm_Horizontal","1",""
